cited_doi,pub_year,cited_year,n,nobel_author,nobel_year,time_after_publish
10.1103/PhysRevA.5.968,1972,2004,2,ClaudeCohenTannoudji,1997,7
10.1103/PhysRevA.5.968,1972,2005,3,ClaudeCohenTannoudji,1997,8
10.1103/PhysRevA.5.968,1972,2006,4,ClaudeCohenTannoudji,1997,9
10.1103/PhysRevA.5.968,1972,2007,5,ClaudeCohenTannoudji,1997,10
10.1103/PhysRevA.5.968,1972,2008,2,ClaudeCohenTannoudji,1997,11
10.1103/PhysRevA.5.968,1972,2009,4,ClaudeCohenTannoudji,1997,12
10.1103/PhysRevA.5.968,1972,2010,5,ClaudeCohenTannoudji,1997,13
10.1103/PhysRevA.5.968,1972,2011,4,ClaudeCohenTannoudji,1997,14
10.1103/PhysRevA.5.968,1972,2012,1,ClaudeCohenTannoudji,1997,15
10.1103/PhysRevA.5.968,1972,2013,3,ClaudeCohenTannoudji,1997,16
10.1103/PhysRevA.5.968,1972,2014,3,ClaudeCohenTannoudji,1997,17
10.1103/PhysRevA.5.968,1972,2015,5,ClaudeCohenTannoudji,1997,18
10.1103/PhysRevA.5.968,1972,2016,4,ClaudeCohenTannoudji,1997,19
10.1103/PhysRevA.5.968,1972,2017,4,ClaudeCohenTannoudji,1997,20
10.1103/PhysRevA.5.968,1972,2018,6,ClaudeCohenTannoudji,1997,21
10.1103/PhysRevA.5.968,1972,2019,1,ClaudeCohenTannoudji,1997,22
10.1103/PhysRevD.36.724,1987,1990,1,MakotoKobayashi,2008,-18
10.1103/PhysRevD.36.724,1987,1991,1,MakotoKobayashi,2008,-17
10.1103/PhysRevD.36.724,1987,1992,1,MakotoKobayashi,2008,-16
10.1103/PhysRevD.36.724,1987,1993,1,MakotoKobayashi,2008,-15
10.1103/PhysRevD.36.724,1987,1994,6,MakotoKobayashi,2008,-14
10.1103/PhysRevD.36.724,1987,1995,1,MakotoKobayashi,2008,-13
10.1103/PhysRevD.36.724,1987,1996,6,MakotoKobayashi,2008,-12
10.1103/PhysRevD.36.724,1987,1997,3,MakotoKobayashi,2008,-11
